hours,attendance,previous_score,final_score
1,50,40,45
2,55,45,50
3,60,50,55
4,65,55,60
5,70,60,65
6,75,65,70
7,80,70,75
8,85,75,80
9,90,80,85
10,95,85,90
2,60,50,54
3,65,55,58
4,70,60,63
5,75,65,68
6,80,70,72
7,85,75,77
8,90,80,82
3,50,45,52
4,55,50,57
5,60,55,62
6,65,60,67
7,70,65,72
8,75,70,77
9,80,75,82
10,85,80,87
1,60,50,53
2,65,55,58
3,70,60,63
4,75,65,68
5,80,70,73
6,85,75,78
7,90,80,83
8,95,85,88
2,50,40,48
3,55,45,53
4,60,50,58
5,65,55,63
6,70,60,68
7,75,65,73
8,80,70,78
9,85,75,83
10,90,80,88
1,55,42,49
2,60,47,54
3,65,52,59
4,70,57,64
5,75,62,69
6,80,67,74
7,85,72,79
8,90,77,84
9,95,82,89
2,52,44,50
3,58,48,55
4,63,53,60
5,68,58,65
6,73,63,70
7,78,68,75
8,83,73,80
9,88,78,85
10,93,83,90
1,58,46,52
2,62,50,56
3,66,54,60
4,70,58,65
5,74,62,69
6,78,66,73
7,82,70,77
8,86,74,81
9,90,78,85
10,94,82,89
